Recipient Company,Recipient Address,Recipient Country,Class,Total Cost,Package Weight
Santa Fe Community College Library,6401 S Richards Ave Santa Fe NM 87508-4887,US,Library Mail,6.56,4 lbs 9.20 oz
Seton Hall University Library,400 S Orange Ave South Orange NJ 07079-2697,US,Library Mail,6.56,4 lbs 4.10 oz
Copper Valley Community Library,PO Box 173 Glennallen AK 99588-0173,US,Priority Mail,14.75,15 lbs 
South County Regional Library,21100 Three Oaks Pkwy Estero FL 33928-3020,US,Library Mail,3.72,1 lbs 
Daniel Boone Regional Library,100 W Broadway Columbia MO 65203-7300,US,Library Mail,3.72,1 lbs 
Syracuse University Libraries,222 Waverly Ave Syracuse NY 13244-2412,US,Library Mail,3.72,1 lbs 
Sno-Isle Libraries,7312 35th Ave NE Tulalip WA 98271-7417,US,Library Mail,3.72,1 lbs 
Northwood University,4000 Whiting Dr Strosacker Library - Interlibrary Loan Midland MI 48640-2398,US,Library Mail,3.72,1 lbs 
Niobrara County Library,PO Box 510 425 S Main Lusk WY 82225-0510,US,Library Mail,3.72,1 lbs 
Indian Trails Public Library District,355 Schoenbeck Rd Wheeling IL 60090-4499,US,Library Mail,3.72,1 lbs 
Liberty Lake Municipal Library,23123 E Mission Ave Liberty Lake WA 99019-8514,US,Library Mail,3.72,1 lbs 
Libraries of Stevens County,PO Box 500 615 Meyers St Kettle Falls WA 99141-0500,US,Library Mail,3.72,1 lbs 
Meridian Library District,1326 W Cherry Ln Meridian ID 83642-1516,US,Library Mail,3.72,1 lbs 
Idaho State University,"921 S 8th Ave, MSC 8089 Pocatello ID 83209-8089",US,Library Mail,3.72,1 lbs 
Texas Tech University Libraries,2802 18th St Lubbock TX 79409-9819,US,Library Mail,3.72,1 lbs 
Southwest Minnesota State University,1501 State St Marshall MN 56258-1598,US,Library Mail,3.72,1 lbs 
University of Rochester,PO Box 270055 755 Library Rd Rochester NY 14627-0055,US,Library Mail,3.72,1 lbs 
Highline College Library,PO Box 98000 2400 S 240th St Des Moines WA 98198-9800,US,Library Mail,3.72,1 lbs 
Eagle Public Library,100 Stierman Way Eagle ID 83616-5162,US,Library Mail,3.72,1 lbs 
